league_name,cliffs_delta,mann_whitney_stat,p_value,neg_log_p,n_unbalanced,n_balanced,n_pairs
saudiproleague,0.38961038961038963,760.5,0.07563508897778762,1.121276677858313,16,74,154
j1league,-0.35083532219570407,2702.5,0.004379486688759926,2.3585767893367793,33,236,419
jupilerproleague,0.33073929961089493,2317.0,0.02233074340270143,1.6510968187862878,22,162,257
campeonatobrasileiroseriea,-0.23636363636363636,2466.5,0.06937875742308151,1.1587734826595908,25,253,385
laliga,0.19929453262786595,7002.5,0.04460319837434894,1.350633998092172,37,315,567
ligaportugal2,-0.17026378896882494,3038.0,0.060836279022645996,1.2158373569029226,31,247,417
campeonatobrasileiroserieb,0.16353887399463807,3092.0,0.21577736120813495,0.6659941222950662,26,207,373
ligue2,-0.11388455538221529,7030.0,0.27035992928032404,0.5680576758295542,41,383,641
championship,-0.10738255033557047,5147.0,0.2548339709258085,0.5937426783687836,30,392,596
challengerproleague,0.09508196721311475,2022.0,0.389562852279812,0.40942246303333923,25,146,305
j2league,-0.08982035928143713,3278.0,0.33435833275331484,0.4757878490045647,30,245,501
ligaportugal,0.07504363001745201,8216.0,0.29334794460545754,0.5326169503985109,43,348,573
2bundesliga,0.06050605060506051,16191.0,0.44304728473594945,0.35354992072044156,73,420,909
premierleague,0.03567567567567568,15362.0,0.6385778360705687,0.19478615914341477,59,502,925
bundesliga,-0.03271028037383177,14600.0,0.8244559419490366,0.08383254763579054,65,457,856
laliga2,0.024958402662229616,5170.0,0.8303846731836759,0.08072067540744791,35,289,601
ligue1,-0.007683863885839737,15652.5,0.8864923400053334,0.052325012694521604,61,519,911
