position,team,played,won,drawn,lost,goal_ratio,goal_difference,points,team_url
1,Juventus FC,38,29,4,5,77:27,50,91,https://www.transfermarkt.com.br/juventus-turin/spielplan/verein/506/saison_id/2016
2,AS Roma,38,28,3,7,90:38,52,87,https://www.transfermarkt.com.br/as-rom/spielplan/verein/12/saison_id/2016
3,SSC Napoli,38,26,8,4,94:39,55,86,https://www.transfermarkt.com.br/ssc-neapel/spielplan/verein/6195/saison_id/2016
4,Atalanta BC,38,21,9,8,62:41,21,72,https://www.transfermarkt.com.br/atalanta-bergamo/spielplan/verein/800/saison_id/2016
5,SS Lazio,38,21,7,10,74:51,23,70,https://www.transfermarkt.com.br/lazio-rom/spielplan/verein/398/saison_id/2016
6,AC Milan,38,18,9,11,57:45,12,63,https://www.transfermarkt.com.br/ac-mailand/spielplan/verein/5/saison_id/2016
7,Inter de Milão,38,19,5,14,72:49,23,62,https://www.transfermarkt.com.br/inter-mailand/spielplan/verein/46/saison_id/2016
8,ACF Fiorentina,38,16,12,10,63:57,6,60,https://www.transfermarkt.com.br/ac-florenz/spielplan/verein/430/saison_id/2016
9,Torino FC,38,13,14,11,71:66,5,53,https://www.transfermarkt.com.br/fc-turin/spielplan/verein/416/saison_id/2016
10,UC Sampdoria,38,12,12,14,49:55,-6,48,https://www.transfermarkt.com.br/sampdoria-genua/spielplan/verein/1038/saison_id/2016
11,Cagliari Calcio,38,14,5,19,55:76,-21,47,https://www.transfermarkt.com.br/cagliari-calcio/spielplan/verein/1390/saison_id/2016
12,US Sassuolo,38,13,7,18,58:63,-5,46,https://www.transfermarkt.com.br/us-sassuolo/spielplan/verein/6574/saison_id/2016
13,Udinese Calcio,38,12,9,17,47:56,-9,45,https://www.transfermarkt.com.br/udinese-calcio/spielplan/verein/410/saison_id/2016
14,Chievo Verona,38,12,7,19,43:61,-18,43,https://www.transfermarkt.com.br/chievo-verona/spielplan/verein/862/saison_id/2016
15,Bologna,38,11,8,19,40:58,-18,41,https://www.transfermarkt.com.br/fc-bologna/spielplan/verein/1025/saison_id/2016
16,Genoa,38,9,9,20,38:64,-26,36,https://www.transfermarkt.com.br/genua-cfc/spielplan/verein/252/saison_id/2016
17,FC Crotone,38,9,7,22,34:58,-24,34,https://www.transfermarkt.com.br/fc-crotone/spielplan/verein/4083/saison_id/2016
18,FC Empoli,38,8,8,22,29:61,-32,32,https://www.transfermarkt.com.br/fc-empoli/spielplan/verein/749/saison_id/2016
19,US Palermo,38,6,8,24,33:77,-44,26,https://www.transfermarkt.com.br/palermo-fc/spielplan/verein/458/saison_id/2016
20,Delfino Pescara 1936,38,3,9,26,37:81,-44,18,https://www.transfermarkt.com.br/delfino-pescara-1936/spielplan/verein/2921/saison_id/2016
