league_name,cliffs_delta,mann_whitney_stat,p_value,neg_log_p,n_unbalanced,n_balanced,n_pairs
saudiproleague,0.5121951219512195,280.0,0.16337155667791792,0.7868235527796547,4,99,41
campeonatobrasileiroseriea,-0.36585365853658536,1072.0,0.03991402646917435,1.3988744590077786,12,275,205
laliga,0.3333333333333333,3724.0,0.030913659326008966,1.5098495833860894,16,353,264
ligaportugal2,-0.32941176470588235,1005.0,0.1261020776161004,0.8992777580758089,10,281,170
j1league,-0.3181818181818182,1421.0,0.03762436336748633,1.4245308399250598,15,278,220
campeonatobrasileiroserieb,0.29069767441860467,1518.5,0.1176512864534064,0.9294033196859108,10,235,172
championship,-0.255079006772009,3333.0,0.0533365589171857,1.2729750068592105,21,423,443
jupilerproleague,0.22727272727272727,721.5,0.3717802198739335,0.4297137200727781,6,198,88
ligue1,0.1956989247311828,9665.5,0.11471907879211267,0.9403643490987688,28,587,465
ligue2,-0.16526610644257703,3538.0,0.19461082698110277,0.7108330018510796,20,427,357
laliga2,0.11242603550295859,3247.5,0.3624309998615197,0.44077466283569894,18,320,338
bundesliga,0.09090909090909091,7347.5,0.36533755564753345,0.43730568127251246,25,531,385
premierleague,0.07446808510638298,9769.5,0.3792446454108328,0.4210805423406909,32,559,564
challengerproleague,0.07368421052631578,598.0,0.6201698978596264,0.20748931760647935,6,178,95
2bundesliga,-0.053304904051172705,7317.0,0.5769852848688702,0.23883526272250424,31,502,469
j2league,-0.027932960893854747,2486.5,0.8042252897594544,0.09462227414496001,19,271,358
ligaportugal,0.00546448087431694,2443.5,0.9630195648326603,0.01636488960178836,12,404,183
