league_name,cliffs_delta,mann_whitney_stat,p_value,neg_log_p,n_unbalanced,n_balanced,n_pairs
jupilerproleague,-0.896551724137931,111.0,3.715984599757761e-05,4.429926094531486,8,198,116
saudiproleague,-0.36,143.0,0.11334609857621912,0.9455934238919385,5,99,50
campeonatobrasileiroserieb,-0.2350597609561753,1360.5,0.13874346840778992,0.8577874528987895,15,235,251
ligaportugal,-0.18996415770609318,3021.0,0.2241196008957813,0.6495201595799566,18,404,279
ligue2,-0.18085106382978725,3689.0,0.16993505741821435,0.7697170174070187,21,427,376
laliga,-0.16756756756756758,1583.0,0.29694034328836594,0.5273307937234434,11,353,185
j1league,-0.16129032258064516,2045.0,0.35169775249056034,0.4538304070144946,17,278,248
bundesliga,-0.12048192771084337,5135.5,0.3363175928806006,0.4732504140082194,22,531,332
premierleague,0.1111111111111111,10772.5,0.31448018802107025,0.5024067095323806,35,559,603
campeonatobrasileiroseriea,0.07964601769911504,1938.0,0.6087569580341627,0.2155560618042956,13,275,226
ligue1,0.07662835249042145,9773.5,0.48575593675667017,0.31358188288483124,31,587,522
superlig,-0.06666666666666667,78.0,0.7232117599200449,0.14073452054865127,2,92,30
championship,-0.06299212598425197,2421.0,0.7859961706825543,0.10457956980726797,12,423,254
challengerproleague,-0.056910569105691054,680.0,0.832282884215178,0.07972903648243475,8,178,123
seriea,0.04985337243401759,5314.5,0.6355290668404169,0.19686458156989994,21,477,341
ligaportugal2,-0.041474654377880185,1736.5,0.7649203377824598,0.11638379185679691,13,281,217
laliga2,0.03816793893129771,2256.5,0.9638763206362198,0.0159786888265931,14,320,262
2bundesliga,-0.028901734104046242,8578.0,0.8157550134794355,0.08844024843832442,35,502,519
j2league,-0.020202020202020204,1515.0,0.927801648103565,0.03254486035611653,11,271,198
serieb,-0.002932551319648094,4329.0,0.6876222507366659,0.16265007844251528,20,411,341
