league_name,n_teams,n_G_plus,n_G_minus,n_G_0,pct_G_plus,pct_G_minus,pct_G_0,threshold
jupilerproleague,212,52,53,107,24.53,25.0,50.47,G: 0.200
challengerproleague,192,46,43,103,23.96,22.4,53.65,G: 0.200
2bundesliga,568,129,130,309,22.71,22.89,54.4,G: 0.200
saudiproleague,108,23,24,61,21.3,22.22,56.48,G: 0.200
ligue2,468,93,107,268,19.87,22.86,57.26,G: 0.200
j1league,310,62,68,180,20.0,21.94,58.06,G: 0.200
ligaportugal2,304,62,61,181,20.39,20.07,59.54,G: 0.200
j2league,301,56,64,181,18.6,21.26,60.13,G: 0.200
bundesliga,578,116,114,348,20.07,19.72,60.21,G: 0.200
ligaportugal,434,86,85,263,19.82,19.59,60.6,G: 0.200
premierleague,626,119,125,382,19.01,19.97,61.02,G: 0.200
laliga2,352,68,67,217,19.32,19.03,61.65,G: 0.200
ligue1,646,123,123,400,19.04,19.04,61.92,G: 0.200
campeonatobrasileiroserieb,260,49,50,161,18.85,19.23,61.92,G: 0.200
laliga,380,69,66,245,18.16,17.37,64.47,G: 0.200
campeonatobrasileiroseriea,300,50,53,197,16.67,17.67,65.67,G: 0.200
championship,456,74,73,309,16.23,16.01,67.76,G: 0.200
