position,team,played,won,drawn,lost,goal_ratio,goal_difference,points,team_url
1,KRC Genk,34,23,6,5,78:37,41,75,https://www.transfermarkt.com.br/krc-genk/spielplan/verein/1184/saison_id/2022
2,Union Saint-Gilloise,34,23,6,5,70:41,29,75,https://www.transfermarkt.com.br/royale-union-saint-gilloise/spielplan/verein/3948/saison_id/2022
3,Royal Antuérpia FC,34,22,6,6,59:26,33,72,https://www.transfermarkt.com.br/royal-antwerpen-fc/spielplan/verein/1096/saison_id/2022
4,Club Brugge,34,16,11,7,61:36,25,59,https://www.transfermarkt.com.br/fc-brugge/spielplan/verein/2282/saison_id/2022
5,KAA Gent,34,16,8,10,64:38,26,56,https://www.transfermarkt.com.br/kaa-gent/spielplan/verein/157/saison_id/2022
6,Standard de Liège,34,16,7,11,58:45,13,55,https://www.transfermarkt.com.br/standard-luttich/spielplan/verein/3057/saison_id/2022
7,KVC Westerlo,34,14,9,11,61:53,8,51,https://www.transfermarkt.com.br/kvc-westerlo/spielplan/verein/968/saison_id/2022
8,Cercle Brügge,34,13,11,10,50:46,4,50,https://www.transfermarkt.com.br/cercle-brugge/spielplan/verein/520/saison_id/2022
9,R Charleroi SC,34,14,6,14,45:52,-7,48,https://www.transfermarkt.com.br/rsc-charleroi/spielplan/verein/172/saison_id/2022
10,Oud-Heverlee Leuven,34,13,9,12,56:48,8,48,https://www.transfermarkt.com.br/oud-heverlee-leuven/spielplan/verein/2727/saison_id/2022
11,RSC Anderlecht,34,13,7,14,49:46,3,46,https://www.transfermarkt.com.br/rsc-anderlecht/spielplan/verein/58/saison_id/2022
12,VV St.Truiden,34,11,9,14,37:40,-3,42,https://www.transfermarkt.com.br/vv-st-truiden/spielplan/verein/475/saison_id/2022
13,KV Mechelen,34,11,7,16,49:63,-14,40,https://www.transfermarkt.com.br/kv-mechelen/spielplan/verein/354/saison_id/2022
14,KV Kortrijk,34,8,7,19,37:61,-24,31,https://www.transfermarkt.com.br/kv-kortrijk/spielplan/verein/601/saison_id/2022
15,KAS Eupen,34,7,7,20,40:75,-35,28,https://www.transfermarkt.com.br/kas-eupen/spielplan/verein/1245/saison_id/2022
16,KV Oostende (-2024),34,7,6,21,37:76,-39,27,https://www.transfermarkt.com.br/kv-oostende/spielplan/verein/2861/saison_id/2022
17,Zulte Waregem,34,6,9,19,50:78,-28,27,https://www.transfermarkt.com.br/sv-zulte-waregem/spielplan/verein/3508/saison_id/2022
18,RFC Seraing,34,5,5,24,28:68,-40,20,https://www.transfermarkt.com.br/rfc-seraing/spielplan/verein/2715/saison_id/2022
