league_name,cliffs_delta,mann_whitney_stat,p_value,neg_log_p,n_unbalanced,n_balanced,n_pairs
saudiproleague,0.3496932515337423,790.0,0.09826479971363959,1.0076020267039505,18,70,163
j1league,-0.3048543689320388,3565.5,0.003740606496579637,2.427057976205087,47,208,515
laliga,0.2077028885832187,8829.5,0.016793414378299735,1.77486099564867,52,281,727
jupilerproleague,0.181058495821727,2880.0,0.15376791129659417,0.8131342848259725,37,135,359
seriea,0.17761033369214208,15546.5,0.02748403623267446,1.5609194875929175,71,376,929
campeonatobrasileiroseriea,-0.14990512333965844,3620.5,0.1668738024050067,0.7776118380599695,37,228,527
challengerproleague,0.12299465240641712,2391.0,0.2639699924081287,0.5784454400705873,34,125,374
j2league,-0.12052117263843648,3953.0,0.14503819091879827,0.8385176258932642,43,214,614
campeonatobrasileiroserieb,0.08943089430894309,3742.0,0.4330744923251739,0.3634373950479317,37,187,492
superlig,-0.0891089108910891,238.0,0.7300511518351138,0.13664670949399174,7,74,101
serieb,-0.08251748251748252,7335.5,0.2395372286571732,0.6206269793521719,47,349,715
ligaportugal,0.08142493638676845,11274.0,0.22830880843565915,0.6414773325693152,69,299,786
bundesliga,-0.08036622583926754,16272.0,0.4890506870442455,0.31064612663748375,82,417,983
ligaportugal2,-0.07865168539325842,4273.5,0.2543159189619857,0.5946264542129387,44,218,534
2bundesliga,0.05575539568345324,19378.0,0.49269846342810963,0.307418792151179,100,371,1112
ligue1,-0.0529595015576324,21028.5,0.40546819064885176,0.39204321091656735,95,468,1284
premierleague,0.03803888419273035,19823.0,0.7468304424978753,0.12677798753685882,89,436,1183
laliga2,0.029649595687331536,6532.0,0.6785363596470719,0.16842687553408692,49,257,742
championship,-0.029379760609358,8625.5,0.7008719918470074,0.15436129488781183,50,357,919
ligue2,-0.02358490566037736,9968.5,0.6157887270000291,0.2105682658168648,62,335,848
