league_name,cliffs_delta,mann_whitney_stat,p_value,neg_log_p,n_unbalanced,n_balanced,n_pairs
saudiproleague,-0.49714285714285716,357.5,0.0008790668916174096,3.055978076513248,20,70,175
superlig,-0.3793103448275862,324.0,0.027078008375790646,1.5673832817598823,14,74,203
jupilerproleague,-0.3482587064676617,1817.5,0.0016883852111525637,2.7725284605587124,40,135,402
campeonatobrasileiroserieb,-0.21413721413721415,2700.0,0.06013970979685902,1.2208386719110391,36,187,481
championship,-0.19376391982182628,7136.5,0.036492748372188154,1.4377934274567385,49,357,898
ligue2,-0.15730337078651685,10165.5,0.05428383608899126,1.2653294695345174,71,335,979
campeonatobrasileiroseriea,0.09819639278557114,4362.5,0.3740212828660727,0.4271036845152626,35,228,499
bundesliga,-0.09606986899563319,14779.5,0.14695619259902148,0.8328121084350691,79,417,916
ligaportugal2,0.07307692307692308,4651.0,0.8707835887108266,0.06008976451781902,42,218,520
2bundesliga,0.07136237256719184,18984.0,0.40314258557018,0.3945413231536471,97,371,1079
j1league,-0.06035889070146819,5286.0,0.38681698022172517,0.4124944698146412,55,208,613
laliga,0.04672897196261682,6799.5,0.7449468886346567,0.12787468939281518,47,281,642
ligue1,-0.04609929078014184,18645.0,0.5608091584291323,0.25118490263277177,83,468,1128
premierleague,0.03758290346352248,23161.0,0.41557352772112655,0.38135212504846394,101,436,1357
laliga2,-0.037257824143070044,5651.5,0.6356640430790323,0.1967723541413816,46,257,671
seriea,0.028515240904621434,14818.5,0.743514648708453,0.12871047059787477,77,376,1017
serieb,0.01775147928994083,9906.0,0.7016731162922245,0.1538651625898991,55,349,845
j2league,0.016181229773462782,4825.5,0.7950127055089228,0.09962593060350174,44,214,618
challengerproleague,-0.010869565217391304,2002.0,0.7971402116640227,0.0984652823726214,33,125,368
ligaportugal,0.006640106241699867,9908.5,0.957784206626198,0.01873232852920462,66,299,753
