position,team,played,won,drawn,lost,goal_ratio,goal_difference,points,team_url
1,FC Bayern Munique,34,23,6,5,70:25,45,75,https://www.transfermarkt.com.br/fc-bayern-munchen/spielplan/verein/27/saison_id/2002
2,VfB Stuttgart,34,17,8,9,53:39,14,59,https://www.transfermarkt.com.br/vfb-stuttgart/spielplan/verein/79/saison_id/2002
3,Borussia Dortmund,34,15,13,6,51:27,24,58,https://www.transfermarkt.com.br/borussia-dortmund/spielplan/verein/16/saison_id/2002
4,Hamburger SV,34,15,11,8,46:36,10,56,https://www.transfermarkt.com.br/hamburger-sv/spielplan/verein/41/saison_id/2002
5,Hertha Berlim,34,16,6,12,52:43,9,54,https://www.transfermarkt.com.br/hertha-bsc/spielplan/verein/44/saison_id/2002
6,Werder Bremen,34,16,4,14,51:50,1,52,https://www.transfermarkt.com.br/sv-werder-bremen/spielplan/verein/86/saison_id/2002
7,Schalke 04,34,12,13,9,46:40,6,49,https://www.transfermarkt.com.br/fc-schalke-04/spielplan/verein/33/saison_id/2002
8,VfL Wolfsburg,34,13,7,14,39:42,-3,46,https://www.transfermarkt.com.br/vfl-wolfsburg/spielplan/verein/82/saison_id/2002
9,VfL Bochum,34,12,9,13,55:56,-1,45,https://www.transfermarkt.com.br/vfl-bochum/spielplan/verein/80/saison_id/2002
10,TSV 1860 Munique,34,12,9,13,44:52,-8,45,https://www.transfermarkt.com.br/tsv-1860-munchen/spielplan/verein/72/saison_id/2002
11,Hannover 96,34,12,7,15,47:57,-10,43,https://www.transfermarkt.com.br/hannover-96/spielplan/verein/42/saison_id/2002
12,Borussia Mönchengladbach,34,11,9,14,43:45,-2,42,https://www.transfermarkt.com.br/borussia-monchengladbach/spielplan/verein/18/saison_id/2002
13,FC Hansa Rostock,34,11,8,15,35:41,-6,41,https://www.transfermarkt.com.br/fc-hansa-rostock/spielplan/verein/30/saison_id/2002
14,1.FC Kaiserslautern,34,10,10,14,40:42,-2,40,https://www.transfermarkt.com.br/1-fc-kaiserslautern/spielplan/verein/2/saison_id/2002
15,Bayer 04 Leverkusen,34,11,7,16,47:56,-9,40,https://www.transfermarkt.com.br/bayer-04-leverkusen/spielplan/verein/15/saison_id/2002
16,Arminia Bielefeld,34,8,12,14,35:46,-11,36,https://www.transfermarkt.com.br/arminia-bielefeld/spielplan/verein/10/saison_id/2002
17,1.FC Nuremberg,34,8,6,20,33:60,-27,30,https://www.transfermarkt.com.br/1-fc-nurnberg/spielplan/verein/4/saison_id/2002
18,FC Energie Cottbus,34,7,9,18,34:64,-30,30,https://www.transfermarkt.com.br/fc-energie-cottbus/spielplan/verein/25/saison_id/2002
